Name,Pokedex Number,Types,Height,Weight,Abilities,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,BST,Moves
Metapod,0011,['Bug'],0.7 m (2′04″),9.9 kg (21.8 lbs),['Shed Skin'],50,20,55,25,25,30,205,{'Harden'}
Butterfree,0012,"['Bug', 'Flying']",1.1 m (3′07″),32.0 kg (70.5 lbs),"['Compound Eyes', 'Tinted Lens']",60,45,50,90,80,70,395,"{'Giga Drain', 'Rest', 'Gust', 'Thief', 'Giga Impact', 'Sunny Day', 'Rage Powder', 'Hyper Beam', 'Tailwind', 'Air Slash', 'Bug Bite', 'Solar Beam', 'Facade', 'Sleep Talk', 'Defog', 'Skill Swap', 'Aerial Ace', 'Flash', 'Double Team', 'Attract', 'Psychic', 'Swagger', 'Psych Up', 'Sleep Powder', 'Confusion', 'U-turn', 'String Shot', 'Whirlwind', 'Harden', 'Quiver Dance', 'Bug Buzz', 'Stun Spore', 'Endure', 'Substitute', 'Energy Ball', 'Rain Dance', 'Roost', 'Protect', 'Shadow Ball', 'Poison Powder', 'Safeguard', 'Tackle', 'Psybeam', 'Dream Eater', 'Supersonic'}"
Weedle,0013,"['Bug', 'Poison']",0.3 m (1′00″),3.2 kg (7.1 lbs),"['Shield Dust', 'Run Away']",40,35,30,20,20,50,195,"{'String Shot', 'Poison Sting', 'Bug Bite'}"
Kakuna,0014,"['Bug', 'Poison']",0.6 m (2′00″),10.0 kg (22.0 lbs),['Shed Skin'],45,25,50,25,25,35,205,{'Harden'}
Beedrill,0015,"['Bug', 'Poison']",1.0 m (3′03″),29.5 kg (65.0 lbs),"['Swarm', 'Sniper']",65,90,40,45,80,75,395,"{'Giga Drain', 'Fury Attack', 'Rock Smash', 'Rest', 'Poison Sting', 'X-Scissor', 'Thief', 'Giga Impact', 'Sunny Day', 'Brick Break', 'Hyper Beam', 'Endeavor', 'Toxic Spikes', 'Bug Bite', 'Solar Beam', 'Facade', 'Sleep Talk', 'Defog', 'Aerial Ace', 'Flash', 'Double Team', 'Attract', 'Swagger', 'U-turn', 'Focus Energy', 'String Shot', 'Harden', 'Venoshock', 'False Swipe', 'Fell Stinger', 'Endure', 'Substitute', 'Pin Missile', 'Poison Jab', 'Assurance', 'Sludge Bomb', 'Roost', 'Laser Focus', 'Agility', 'Protect', 'Cut', 'Fury Cutter', 'Payback', 'Swords Dance'}"
Pidgey,0016,"['Normal', 'Flying']",0.3 m (1′00″),1.8 kg (4.0 lbs),"['Keen Eye', 'Tangled Feet', 'Big Pecks']",40,45,40,35,35,56,251,"{'Air Cutter', 'Quick Attack', 'Brave Bird', 'Sand Attack', 'Rest', 'Gust', 'Thief', 'Sunny Day', 'Tailwind', 'Air Slash', 'Work Up', 'Facade', 'Sleep Talk', 'Defog', 'Aerial Ace', 'Double Team', 'Attract', 'Hurricane', 'Swagger', 'U-turn', 'Whirlwind', 'Feather Dance', 'Endure', 'Substitute', 'Steel Wing', 'Twister', 'Wing Attack', 'Rain Dance', 'Fly', 'Pluck', 'Roost', 'Protect', 'Agility', 'Tackle', 'Uproar'}"
Pidgeotto,0017,"['Normal', 'Flying']",1.1 m (3′07″),30.0 kg (66.1 lbs),"['Keen Eye', 'Tangled Feet', 'Big Pecks']",63,60,55,50,50,71,349,"{'Air Cutter', 'Quick Attack', 'Brave Bird', 'Sand Attack', 'Rest', 'Gust', 'Thief', 'Sunny Day', 'Tailwind', 'Air Slash', 'Work Up', 'Facade', 'Sleep Talk', 'Defog', 'Aerial Ace', 'Double Team', 'Attract', 'Hurricane', 'Swagger', 'U-turn', 'Whirlwind', 'Feather Dance', 'Endure', 'Substitute', 'Steel Wing', 'Twister', 'Wing Attack', 'Rain Dance', 'Fly', 'Pluck', 'Roost', 'Protect', 'Agility', 'Tackle', 'Uproar'}"
Pidgeot,0018,"['Normal', 'Flying']",1.5 m (4′11″),39.5 kg (87.1 lbs),"['Keen Eye', 'Tangled Feet', 'Big Pecks']",83,80,75,70,70,101,479,"{'Air Cutter', 'Quick Attack', 'Brave Bird', 'Sand Attack', 'Rest', 'Gust', 'Thief', 'Giga Impact', 'Sunny Day', 'Hyper Beam', 'Tailwind', 'Air Slash', 'Work Up', 'Facade', 'Sleep Talk', 'Defog', 'Aerial Ace', 'Double Team', 'Attract', 'Hurricane', 'Swagger', 'U-turn', 'Whirlwind', 'Feather Dance', 'Endure', 'Substitute', 'Steel Wing', 'Twister', 'Wing Attack', 'Rain Dance', 'Fly', 'Pluck', 'Roost', 'Protect', 'Agility', 'Tackle', 'Uproar'}"
Rattata,0019,['Normal'],0.3 m (1′00″),3.5 kg (7.7 lbs),"['Run Away', 'Guts', 'Hustle']",30,56,35,25,35,72,253,set()
Raticate,0020,['Normal'],0.7 m (2′04″),18.5 kg (40.8 lbs),"['Run Away', 'Guts', 'Hustle']",55,81,60,50,70,97,413,set()
Spearow,0021,"['Normal', 'Flying']",0.3 m (1′00″),2.0 kg (4.4 lbs),"['Keen Eye', 'Sniper']",40,60,30,31,31,70,262,"{'Quick Attack', 'Tri Attack', 'Fury Attack', 'Rest', 'Leer', 'Thief', 'Sunny Day', 'Work Up', 'Growl', 'Facade', 'Sleep Talk', 'Defog', 'Aerial Ace', 'Double Team', 'Scary Face', 'Peck', 'Attract', 'Swagger', 'U-turn', 'Focus Energy', 'Drill Peck', 'Whirlwind', 'Feather Dance', 'False Swipe', 'Sky Attack', 'Endure', 'Substitute', 'Steel Wing', 'Wing Attack', 'Rain Dance', 'Assurance', 'Pluck', 'Fly', 'Roost', 'Protect', 'Agility', 'Take Down', 'Uproar', 'Astonish'}"
Fearow,0022,"['Normal', 'Flying']",1.2 m (3′11″),38.0 kg (83.8 lbs),"['Keen Eye', 'Sniper']",65,90,65,61,61,100,442,"{'Quick Attack', 'Drill Run', 'Tri Attack', 'Fury Attack', 'Rest', 'Leer', 'Thief', 'Giga Impact', 'Sunny Day', 'Hyper Beam', 'Work Up', 'Growl', 'Facade', 'Sleep Talk', 'Defog', 'Aerial Ace', 'Double Team', 'Scary Face', 'Peck', 'Attract', 'Swagger', 'U-turn', 'Focus Energy', 'Drill Peck', 'Whirlwind', 'Feather Dance', 'False Swipe', 'Sky Attack', 'Endure', 'Substitute', 'Steel Wing', 'Wing Attack', 'Rain Dance', 'Assurance', 'Pluck', 'Fly', 'Roost', 'Protect', 'Agility', 'Take Down', 'Uproar', 'Astonish'}"
Ekans,0023,['Poison'],2.0 m (6′07″),6.9 kg (15.2 lbs),"['Intimidate', 'Shed Skin', 'Unnerve']",35,60,44,40,54,55,288,"{'Sucker Punch', 'Scale Shot', 'Spite', 'Poison Tail', 'Swallow', 'Giga Drain', 'Seed Bomb', 'Gastro Acid', 'Dig', 'Poison Sting', 'Rest', 'Crunch', 'Knock Off', 'Leer', 'Wrap', 'Thief', 'Sunny Day', 'Rock Tomb', 'Toxic Spikes', 'Acid Spray', 'Acid', 'Switcheroo', 'Bite', 'Rock Slide', 'Spit Up', 'Facade', 'Sleep Talk', 'Earthquake', 'Skitter Smack', 'Glare', 'Screech', 'Sludge Wave', 'Scary Face', 'Snarl', 'Toxic', 'Double-Edge', 'Tera Blast', 'Leech Life', 'Venoshock', 'Mud Shot', 'Psychic Fangs', 'Endure', 'Substitute', 'Dark Pulse', 'Stockpile', 'Lash Out', 'Poison Jab', 'Gunk Shot', 'Rain Dance', 'Sludge Bomb', 'Coil', 'Fire Fang', 'Poison Fang', 'Protect', 'Take Down', 'Haze', 'Belch', 'Mud-Slap', 'Trailblaze'}"
Arbok,0024,['Poison'],3.5 m (11′06″),65.0 kg (143.3 lbs),"['Intimidate', 'Shed Skin', 'Unnerve']",60,95,69,65,79,80,448,"{'Scale Shot', 'Spite', 'Poison Tail', 'Swallow', 'Giga Drain', 'Seed Bomb', 'Gastro Acid', 'Dig', 'Poison Sting', 'Rest', 'Crunch', 'Knock Off', 'Pain Split', 'Leer', 'Wrap', 'Thief', 'Giga Impact', 'Sunny Day', 'Hyper Beam', 'Rock Tomb', 'Toxic Spikes', 'Acid Spray', 'Acid', 'Bite', 'Rock Slide', 'Spit Up', 'Facade', 'Sleep Talk', 'Earthquake', 'Skitter Smack', 'Glare', 'Dragon Tail', 'Throat Chop', 'Screech', 'Sludge Wave', 'Scary Face', 'Snarl', 'Toxic', 'Double-Edge', 'Tera Blast', 'Leech Life', 'Bulldoze', 'Venoshock', 'Mud Shot', 'Body Slam', 'Thunder Fang', 'Psychic Fangs', 'Endure', 'Substitute', 'Dark Pulse', 'Stockpile', 'Lash Out', 'Poison Jab', 'Gunk Shot', 'Rain Dance', 'Fire Fang', 'Sludge Bomb', 'Coil', 'Stomping Tantrum', 'Protect', 'Take Down', 'Haze', 'Belch', 'Mud-Slap', 'Ice Fang', 'Trailblaze', 'Breaking Swipe'}"
Pikachu,0025,['Electric'],0.4 m (1′04″),6.0 kg (13.2 lbs),"['Static', 'Lightning Rod']",35,55,40,50,50,90,320,set()
Raichu,0026,['Electric'],0.8 m (2′07″),30.0 kg (66.1 lbs),"['Static', 'Lightning Rod']",60,90,55,90,80,110,485,set()
Sandshrew,0027,['Ground'],0.6 m (2′00″),12.0 kg (26.5 lbs),"['Sand Veil', 'Sand Rush']",50,75,85,20,30,40,300,"{'High Horsepower', 'Sand Attack', 'Shadow Claw', 'Curse', 'Dig', 'Poison Sting', 'Rest', 'Knock Off', 'Low Kick', 'X-Scissor', 'Metal Claw', 'Thief', 'Sunny Day', 'Brick Break', 'Endeavor', 'Stone Edge', 'Rock Tomb', 'Spikes', 'Rock Slide', 'Facade', 'Sleep Talk', 'Amnesia', 'Earthquake', 'Super Fang', 'Throat Chop', 'Aerial Ace', 'Fling', 'Earth Power', 'Smack Down', 'Swift', 'Stealth Rock', 'Rapid Spin', 'Double-Edge', 'Rollout', 'Tera Blast', 'Leech Life', 'Bulldoze', 'Mud Shot', 'Counter', 'Flail', 'False Swipe', 'Night Slash', 'Body Slam', 'Focus Punch', 'Defense Curl', 'Endure', 'Substitute', 'Slash', 'Poison Jab', 'Sandstorm', 'Hone Claws', 'Stomping Tantrum', 'Protect', 'Agility', 'Take Down', 'Sand Tomb', 'Scratch', 'Gyro Ball', 'Fury Cutter', 'Mud-Slap', 'Fury Swipes', 'Scorching Sands', 'Swords Dance'}"
Sandslash,0028,['Ground'],1.0 m (3′03″),29.5 kg (65.0 lbs),"['Sand Veil', 'Sand Rush']",75,100,110,45,55,65,450,"{'Drill Run', 'High Horsepower', 'Sand Attack', 'Shadow Claw', 'Curse', 'Iron Defense', 'Dig', 'Poison Sting', 'Iron Head', 'Rest', 'Low Kick', 'Knock Off', 'X-Scissor', 'Metal Claw', 'Thief', 'Giga Impact', 'Sunny Day', 'Brick Break', 'Hyper Beam', 'Stone Edge', 'Rock Tomb', 'Endeavor', 'Spikes', 'Rock Slide', 'Facade', 'Sleep Talk', 'Amnesia', 'Earthquake', 'Blizzard', 'Super Fang', 'Throat Chop', 'Aerial Ace', 'Icicle Spear', 'Fling', 'Earth Power', 'Smack Down', 'Swift', 'Stealth Rock', 'Rapid Spin', 'Mist', 'Double-Edge', 'Rollout', 'Tera Blast', 'Leech Life', 'Bulldoze', 'Mud Shot', 'False Swipe', 'Focus Punch', 'Body Slam', 'Focus Blast', 'Defense Curl', 'Endure', 'Substitute', 'Crush Claw', 'Slash', 'Poison Jab', 'Gunk Shot', 'Sandstorm', 'Powder Snow', 'Stomping Tantrum', 'Protect', 'Agility', 'Take Down', 'Sand Tomb', 'Scratch', 'Gyro Ball', 'Fury Cutter', 'Mud-Slap', 'Fury Swipes', 'Snowscape', 'Scorching Sands', 'Metal Burst', 'Swords Dance'}"
Nidoran♀ (female),0029,['Poison'],0.4 m (1′04″),7.0 kg (15.4 lbs),"['Poison Point', 'Rivalry', 'Hustle']",55,47,52,40,40,41,275,"{'Poison Tail', 'Tail Whip', 'Water Pulse', 'Shadow Claw', 'Rock Smash', 'Dig', 'Poison Sting', 'Rest', 'Crunch', 'Iron Tail', 'Venom Drench', 'Thief', 'Sunny Day', 'Shock Wave', 'Toxic Spikes', 'Flatter', 'Growl', 'Bite', 'Ice Beam', 'Strength', 'Facade', 'Sleep Talk', 'Blizzard', 'Thunderbolt', 'Aerial Ace', 'Double Team', 'Earth Power', 'Attract', 'Toxic', 'Double Kick', 'Swagger', 'Helping Hand', 'Focus Energy', 'Beat Up', 'Counter', 'Skull Bash', 'Endure', 'Substitute', 'Poison Jab', 'Rain Dance', 'Sludge Bomb', 'Disable', 'Poison Fang', 'Protect', 'Thunder', 'Take Down', 'Charm', 'Scratch', 'Cut', 'Fury Swipes', 'Supersonic'}"
Nidorina,0030,['Poison'],0.8 m (2′07″),20.0 kg (44.1 lbs),"['Poison Point', 'Rivalry', 'Hustle']",70,62,67,55,55,56,365,"{'Poison Tail', 'Tail Whip', 'Water Pulse', 'Shadow Claw', 'Rock Smash', 'Dig', 'Poison Sting', 'Rest', 'Crunch', 'Iron Tail', 'Venom Drench', 'Thief', 'Sunny Day', 'Shock Wave', 'Toxic Spikes', 'Flatter', 'Growl', 'Bite', 'Ice Beam', 'Strength', 'Facade', 'Sleep Talk', 'Blizzard', 'Thunderbolt', 'Aerial Ace', 'Double Team', 'Earth Power', 'Attract', 'Toxic', 'Double Kick', 'Swagger', 'Helping Hand', 'Focus Energy', 'Beat Up', 'Counter', 'Skull Bash', 'Endure', 'Substitute', 'Poison Jab', 'Rain Dance', 'Sludge Bomb', 'Disable', 'Poison Fang', 'Protect', 'Thunder', 'Take Down', 'Charm', 'Scratch', 'Cut', 'Fury Swipes', 'Supersonic'}"
Nidoqueen,0031,"['Poison', 'Ground']",1.3 m (4′03″),60.0 kg (132.3 lbs),"['Poison Point', 'Rivalry', 'Sheer Force']",90,92,87,75,85,76,505,"{'Poison Tail', 'Tail Whip', 'Water Pulse', 'Shadow Claw', 'Rock Smash', 'Dig', 'Poison Sting', 'Rest', 'Crunch', 'Iron Tail', 'Avalanche', 'Venom Drench', 'Thief', 'Giga Impact', 'Sunny Day', 'Brick Break', 'Hyper Beam', 'Shock Wave', 'Rock Tomb', 'Toxic Spikes', 'Stone Edge', 'Flatter', 'Growl', 'Roar', 'Rock Climb', 'Bite', 'Ice Beam', 'Rock Slide', 'Facade', 'Sleep Talk', 'Strength', 'Earthquake', 'Blizzard', 'Thunderbolt', 'Aerial Ace', 'Double Team', 'Sludge Wave', 'Fire Blast', 'Earth Power', 'Attract', 'Toxic', 'Fling', 'Double Kick', 'Stealth Rock', 'Helping Hand', 'Taunt', 'Swagger', 'Focus Energy', 'Beat Up', 'Bulldoze', 'Torment', 'Counter', 'Skull Bash', 'Focus Punch', 'Focus Blast', 'Endure', 'Substitute', 'Surf', 'Poison Jab', 'Rain Dance', 'Sludge Bomb', 'Sandstorm', 'Disable', 'Dragon Pulse', 'Flamethrower', 'Poison Fang', 'Protect', 'Shadow Ball', 'Thunder', 'Take Down', 'Charm', 'Scratch', 'Cut', 'Superpower', 'Fury Swipes', 'Supersonic'}"
Nidoran♂ (male),0032,['Poison'],0.5 m (1′08″),9.0 kg (19.8 lbs),"['Poison Point', 'Rivalry', 'Hustle']",46,57,40,40,40,50,273,"{'Sucker Punch', 'Horn Drill', 'Poison Tail', 'Water Pulse', 'Shadow Claw', 'Fury Attack', 'Rock Smash', 'Dig', 'Poison Sting', 'Rest', 'Iron Tail', 'Leer', 'Venom Drench', 'Thief', 'Sunny Day', 'Shock Wave', 'Toxic Spikes', 'Flatter', 'Thrash', 'Ice Beam', 'Strength', 'Facade', 'Amnesia', 'Sleep Talk', 'Blizzard', 'Thunderbolt', 'Head Smash', 'Double Team', 'Peck', 'Earth Power', 'Attract', 'Toxic', 'Double Kick', 'Swagger', 'Helping Hand', 'Confusion', 'Focus Energy', 'Beat Up', 'Horn Attack', 'Counter', 'Endure', 'Substitute', 'Poison Jab', 'Rain Dance', 'Sludge Bomb', 'Disable', 'Protect', 'Thunder', 'Take Down', 'Cut', 'Supersonic'}"
Nidorino,0033,['Poison'],0.9 m (2′11″),19.5 kg (43.0 lbs),"['Poison Point', 'Rivalry', 'Hustle']",61,72,57,55,55,65,365,"{'Sucker Punch', 'Horn Drill', 'Poison Tail', 'Water Pulse', 'Shadow Claw', 'Fury Attack', 'Rock Smash', 'Dig', 'Poison Sting', 'Rest', 'Iron Tail', 'Leer', 'Venom Drench', 'Thief', 'Sunny Day', 'Shock Wave', 'Toxic Spikes', 'Flatter', 'Thrash', 'Ice Beam', 'Strength', 'Facade', 'Amnesia', 'Sleep Talk', 'Blizzard', 'Thunderbolt', 'Head Smash', 'Double Team', 'Peck', 'Earth Power', 'Attract', 'Toxic', 'Double Kick', 'Swagger', 'Helping Hand', 'Confusion', 'Focus Energy', 'Beat Up', 'Horn Attack', 'Counter', 'Endure', 'Substitute', 'Poison Jab', 'Rain Dance', 'Sludge Bomb', 'Disable', 'Protect', 'Thunder', 'Take Down', 'Cut', 'Supersonic'}"
